Date,Open,High,Low,Close,Volume
2025-08-20,585.9100,593.8800,585.9100,592.6800,2884705
2025-08-19,584.4100,590.5700,584.2200,585.5100,2334494
2025-08-18,582.0200,585.4900,580.6900,584.1400,1812110
2025-08-15,585.0000,589.5600,581.1100,581.7000,2263870
2025-08-14,577.4700,584.4000,575.5000,583.7600,2642459
2025-08-13,577.3300,580.2700,574.0400,577.9000,2352973
2025-08-12,575.1800,578.3200,570.4600,574.1800,2593996
2025-08-11,575.0000,576.5900,569.4400,573.5900,2116712
2025-08-08,563.7500,576.1600,562.6900,574.3200,2908038
2025-08-07,572.9700,573.9000,553.8550,561.2200,2979747
2025-08-06,568.9900,570.3600,563.9700,569.1300,2245248
2025-08-05,569.6000,571.8300,562.1270,566.0400,2883198
2025-08-04,564.2900,569.9200,562.4950,569.8100,2984728
2025-08-01,563.8600,564.8700,556.1000,559.8900,3316787
2025-07-31,568.5700,579.4400,562.5100,566.4700,4568343
2025-07-30,560.3300,565.6100,555.2100,559.1100,2833185
2025-07-29,570.0300,573.0000,563.0000,563.3200,2394238
2025-07-28,567.3700,571.6500,566.2200,568.2800,2492411
2025-07-25,564.3600,569.9550,563.8500,568.2200,1513639
2025-07-24,562.0000,567.8350,561.8950,563.5000,1874746
2025-07-23,557.0100,562.4900,554.5000,562.0900,2180805
2025-07-22,555.8100,560.2070,555.2400,558.7600,2010579
2025-07-21,553.4000,558.0800,552.0400,554.6500,2194542
2025-07-18,555.2600,556.3500,550.8800,552.6600,2579950
2025-07-17,552.9800,557.3800,550.5100,555.6100,2722063
2025-07-16,552.4200,555.5200,549.5000,555.5200,2424364
2025-07-15,553.1100,554.8600,548.6500,550.3600,2449394
2025-07-14,550.5000,559.0700,547.7900,553.0200,2501007
